date,Discharge(cumecs)
1/4/1966 0:00,5.431
1/5/1966 0:00,1.568
1/6/1966 0:00,4.418
1/7/1966 0:00,143.908
1/8/1966 0:00,19.188
1/9/1966 0:00,11.037
1/10/1966 0:00,8.66
1/11/1966 0:00,0.952
1/12/1966 0:00,0.008
1/1/1967 0:00,0.391
1/2/1967 0:00,0.273
1/3/1967 0:00,0.091
1/4/1967 0:00,0.124
1/5/1967 0:00,4.259
1/6/1967 0:00,27.7
1/7/1967 0:00,9.811
1/8/1967 0:00,26.309
1/9/1967 0:00,5.046
1/10/1967 0:00,5.179
1/11/1967 0:00,2.364
1/12/1967 0:00,1.814
1/1/1968 0:00,0.505
1/2/1968 0:00,0.836
1/3/1968 0:00,0.351
1/4/1968 0:00,0.841
1/5/1968 0:00,14.993
1/6/1968 0:00,12.122
1/7/1968 0:00,6.507
1/8/1968 0:00,25.518
1/9/1968 0:00,11.371
1/10/1968 0:00,3.902
1/11/1968 0:00,4.864
1/12/1968 0:00,0.784
1/1/1969 0:00,0.994
1/2/1969 0:00,1.943
1/3/1969 0:00,0.519
1/4/1969 0:00,0.393
1/5/1969 0:00,1.406
1/6/1969 0:00,0.644
1/7/1969 0:00,20.288
1/8/1969 0:00,11.234
1/9/1969 0:00,20.35
1/10/1969 0:00,6.466
1/11/1969 0:00,4.008
1/12/1969 0:00,0.875
1/1/1970 0:00,0.356
1/2/1970 0:00,0.003
1/3/1970 0:00,0.076
1/4/1970 0:00,0.042
1/5/1970 0:00,0
1/6/1970 0:00,17.099
1/7/1970 0:00,61.448
1/8/1970 0:00,19.634
1/9/1970 0:00,21.48
1/10/1970 0:00,8.189
1/11/1970 0:00,2.442
1/12/1970 0:00,0.531
1/1/1971 0:00,0.909
1/2/1971 0:00,1.862
1/3/1971 0:00,0.83
1/4/1971 0:00,0.905
1/5/1971 0:00,1.834
1/6/1971 0:00,1.768
1/7/1971 0:00,111.744
1/8/1971 0:00,5.54
1/9/1971 0:00,30.126
1/10/1971 0:00,3.645
1/11/1971 0:00,1.462
1/12/1971 0:00,0.609
1/1/1972 0:00,0.618
1/2/1972 0:00,0.422
1/3/1972 0:00,
1/4/1972 0:00,0.066
1/5/1972 0:00,4.672
1/6/1972 0:00,3.979
1/7/1972 0:00,5.499
1/8/1972 0:00,17.95
1/9/1972 0:00,4.528
1/10/1972 0:00,4.617
1/11/1972 0:00,
1/12/1972 0:00,0.449
1/1/1973 0:00,0.882
1/2/1973 0:00,1.435
1/3/1973 0:00,0
1/4/1973 0:00,0.03
1/5/1973 0:00,0.045
1/6/1973 0:00,3.641
1/7/1973 0:00,0.669
1/8/1973 0:00,64.714
1/9/1973 0:00,3.855
1/10/1973 0:00,4.749
1/11/1973 0:00,1.233
1/12/1973 0:00,0.306
1/1/1974 0:00,0.477
1/2/1974 0:00,0.136
1/3/1974 0:00,0.177
1/4/1974 0:00,0
1/5/1974 0:00,0
1/6/1974 0:00,6.877
1/7/1974 0:00,16.353
1/8/1974 0:00,35.954
1/9/1974 0:00,53.279
1/10/1974 0:00,9.805
1/11/1974 0:00,7.45
1/12/1974 0:00,2.816
1/1/1975 0:00,1.228
1/2/1975 0:00,1.13
1/3/1975 0:00,0.673
1/4/1975 0:00,0.542
1/5/1975 0:00,6.9
1/6/1975 0:00,14.621
1/7/1975 0:00,11.07
1/8/1975 0:00,46.749
1/9/1975 0:00,10.409
1/10/1975 0:00,3.077
1/11/1975 0:00,3.379
1/12/1975 0:00,2.714
1/1/1976 0:00,0.522
1/2/1976 0:00,0.272
1/3/1976 0:00,2.135
1/4/1976 0:00,0.04
1/5/1976 0:00,0.582
1/6/1976 0:00,88.107
1/7/1976 0:00,41.249
1/8/1976 0:00,25.176
1/9/1976 0:00,8.752
1/10/1976 0:00,7.018
1/11/1976 0:00,2.429
1/12/1976 0:00,9.955
1/1/1977 0:00,46.493
1/2/1977 0:00,1.202
1/3/1977 0:00,1
1/4/1977 0:00,2.287
1/5/1977 0:00,3.741
1/6/1977 0:00,68.773
1/7/1977 0:00,49.349
1/8/1977 0:00,26.081
1/9/1977 0:00,13.967
1/10/1977 0:00,6.729
1/11/1977 0:00,2.718
1/12/1977 0:00,1.926
